,video_name,fps
0,DESFAM_Semaine-2-Vendredi_Go-NoGo_H64,24.970661089472163
1,DESFAM_Semaine-2-Vendredi_Go-NoGo_H69,29.9600995886699
4,DESFAM_Semaine-2-Vendredi_Go-NoGo_H71,24.970918454496903
5,DESFAM_Semaine 2-Vendredi_PVT_H63_hog,24.975024975024976
6,DESFAM_Semaine-2-Vendredi_PVT_H64_hog,24.96962787501452
7,DESFAM_Semaine-2-Vendredi_PVT_H66_hog,24.969356087972432
8,df_merge_pvt,24.969356087972432
0,df_merge_11_17_03_02_2021,24.96962787501452
0,df_merge_11_18_03_02_2021,24.96962787501452
0,df_merge_11_36_03_02_2021,24.96962787501452
0,df_merge_11_45_03_02_2021,24.96962787501452
0,df_merge_13_15_03_02_2021,24.96962787501452
