,ear,ear_l,ear_r,eyebrow_nose,eyebrow_eye,jaw_dropping,eye_area,Target
count,135237.0,135237.0,135237.0,135237.0,135237.0,135237.0,135237.0,135237.0
mean,0.314,0.313,0.315,100.008,32.191,81.165,589.072,1.0
std,0.043,0.043,0.046,13.041,5.544,15.579,189.805,0.0
min,0.073,0.0,0.053,10.198,2.414,7.28,2.356,1.0
25%,0.286,0.286,0.286,91.0,30.507,70.859,460.597,1.0
50%,0.313,0.312,0.314,97.529,33.068,84.528,558.19,1.0
75%,0.342,0.343,0.346,106.902,35.388,93.193,659.869,1.0
max,0.515,0.667,0.492,154.029,54.59,124.016,1546.329,1.0
