,ear,ear_l,ear_r,eyebrow_nose,eyebrow_eye,jaw_dropping,eye_area,Target
count,109801.0,109801.0,109801.0,109801.0,109801.0,109801.0,109801.0,109801.0
mean,0.323,0.323,0.323,100.964,32.18,78.287,611.982,0.0
std,0.044,0.045,0.046,13.668,5.752,15.118,200.35,0.0
min,0.094,0.088,0.088,12.042,1.825,7.616,6.741,0.0
25%,0.293,0.29,0.294,90.554,29.14,64.031,472.578,0.0
50%,0.323,0.324,0.322,97.576,33.061,82.377,565.291,0.0
75%,0.358,0.357,0.358,109.385,35.838,87.573,717.39,0.0
max,0.485,0.499,0.48,160.462,57.736,127.475,1391.646,0.0
